"","title","author","year","publication_title","abstract","doi","url","source","preregister","type_of_control","publication_type","study_num","mean_age","setting","country","intervention_type","prejudice_type","intervention_approach","intervention_length","intervention_span","light_touch","open_data","condition_name","control_name","outcome_type","measure_name","scale_direction","time_measurement","delay","n_treatment","n_treatment_clusters","n_control","n_control_clusters","effect_type","test_statistic","effect_direction","adjusted","sd_control","result_page","heterogenous","provide_all_stats","synergy","personalization","policy_attitude_measure","unique_paper_id"
"1","More Than a Lack of Control: External Explanations Can Evoke Compassion for Outgroups by Increasing Perceptions of Suffering (Independent of Perceived Control)","Gill, Michael J', 'Getty, Phillip D', 'Andreychik, Michael R","2013.0","Personality and Social Psychology Bulletin","People’s explanations for social events powerfully affect their socioemotional responses. We examine why explanations affect emotions, with a specific focus on how external explanations for negative aspects of an outgroup can create compassion for the outgroup. The dominant model of these processes suggests that external explanations can reduce perceived control and that compassion is evoked when negative aspects of an outgroup are perceived as beyond their control. We agree that perceived control is important, but we propose a model in which explanations also affect perceived suffering of an outgroup, and that perceived suffering is an additional mechanism connecting external explanations to compassion. Studies are presented that support our integrative dual-mediation model and that pinpoint factors—depth of cognitive processing, expansive sense of identity—that modulate the extent to which the external explanation/perceived suffering mechanism evokes compassion.","10.1177/0146167212460281","https://journals.sagepub.com/doi/full/10.1177/0146167212460281', 'https://www.ncbi.nlm.nih.gov/pubmed/23041610', 'https://search.proquest.com/docview/1237504783","articles+","0.0","3","1.0","4.0","20","4","US","1","10","9","0:05","1 day","1","0","external explanation","no explanation","3","compassion","1.0","1.0","0.0","42.5","-","42.5","-","f.test","22.86","1.0","0.0","1.0","82.0","0.0","0.0","0.0","1.0","0.0",1
"2","More Than a Lack of Control: External Explanations Can Evoke Compassion for Outgroups by Increasing Perceptions of Suffering (Independent of Perceived Control)","Gill, Michael J', 'Getty, Phillip D', 'Andreychik, Michael R","2013.0","Personality and Social Psychology Bulletin","People’s explanations for social events powerfully affect their socioemotional responses. We examine why explanations affect emotions, with a specific focus on how external explanations for negative aspects of an outgroup can create compassion for the outgroup. The dominant model of these processes suggests that external explanations can reduce perceived control and that compassion is evoked when negative aspects of an outgroup are perceived as beyond their control. We agree that perceived control is important, but we propose a model in which explanations also affect perceived suffering of an outgroup, and that perceived suffering is an additional mechanism connecting external explanations to compassion. Studies are presented that support our integrative dual-mediation model and that pinpoint factors—depth of cognitive processing, expansive sense of identity—that modulate the extent to which the external explanation/perceived suffering mechanism evokes compassion.","10.1177/0146167212460281","https://journals.sagepub.com/doi/full/10.1177/0146167212460281', 'https://www.ncbi.nlm.nih.gov/pubmed/23041610', 'https://search.proquest.com/docview/1237504783","articles+","0.0","3","1.0","4.0","20","4","US","1","10","9","0:05","1 day","1","0","external explanation","no explanation","3","inherent badness","-1.0","1.0","0.0","42.5","-","42.5","-","f.test","24.46","1.0","0.0","1.0","81.0","0.0","0.0","0.0","1.0","0.0",1
"3","Awareness of Intergroup Help Can Rehumanize the Out-Group","Saguy, Tamar, Szekeres, Hanna', 'Nouri, Rikki', 'Goldenberg, Amit', 'Dovidio, John F', 'Halperin, Eran', 'Doron, Guy', 'Yunger, Chaim'","2015.0","Social Psychological and Personality Science","Dehumanizing the enemy is one of the most destructive elements of intergroup conflict. Past research demonstrated that awareness of harm that the in-group imposed on a specific out-group can increase out-group dehumanization as means of justifying the harm. In this research, we examined whether the opposite process would occur when people become aware of help given to an adversary. We reasoned that the need to justify a good deed toward a persistent enemy can result in more human-like out-group attributions. In two experiments, Israeli-Jews read about their group either helping Palestinians or not. In Study 1, awareness of help provided by the in-group to the out-group resulted in greater out-group humanization. In Study 2, we further established that when a third party helped the out-group, the rehumanization effect was not obtained, suggesting that the phenomenon is of specific intergroup nature. Theoretical and applied implications for conflict resolution are discussed.","10.1177/1948550615574748","https://journals.sagepub.com/doi/full/10.1177/1948550615574748","articles+","0.0","2","1.0","1.0","30.55","6","Israel","1","2","3","0:02","1 day","1","0","reading about ingroup help","reading no-help article","3","mechanistic dehumanization","-1.0","1.0","0.0","28.5","-","28.5","-","dim","-0.5","1.0","0.0","0.71","553.0","0.0","1.0","0.0","1.0","0.0",2
"4","Awareness of Intergroup Help Can Rehumanize the Out-Group","Saguy, Tamar, Szekeres, Hanna', 'Nouri, Rikki', 'Goldenberg, Amit', 'Dovidio, John F', 'Halperin, Eran', 'Doron, Guy', 'Yunger, Chaim'","2015.0","Social Psychological and Personality Science","Dehumanizing the enemy is one of the most destructive elements of intergroup conflict. Past research demonstrated that awareness of harm that the in-group imposed on a specific out-group can increase out-group dehumanization as means of justifying the harm. In this research, we examined whether the opposite process would occur when people become aware of help given to an adversary. We reasoned that the need to justify a good deed toward a persistent enemy can result in more human-like out-group attributions. In two experiments, Israeli-Jews read about their group either helping Palestinians or not. In Study 1, awareness of help provided by the in-group to the out-group resulted in greater out-group humanization. In Study 2, we further established that when a third party helped the out-group, the rehumanization effect was not obtained, suggesting that the phenomenon is of specific intergroup nature. Theoretical and applied implications for conflict resolution are discussed.","10.1177/1948550615574749","https://journals.sagepub.com/doi/full/10.1177/1948550615574749","articles+","0.0","2","1.0","1.0","30.55","6","Israel","1","2","3","0:02","1 day","1","0","reading about ingroup help","reading no-help article","3","animalistic dehumanization","-1.0","1.0","0.0","28.5","-","28.5","-","dim","-0.4","1.0","0.0","0.55","553.0","0.0","1.0","0.0","1.0","0.0",2
"5","Awareness of Intergroup Help Can Rehumanize the Out-Group","Saguy, Tamar, Szekeres, Hanna', 'Nouri, Rikki', 'Goldenberg, Amit', 'Dovidio, John F', 'Halperin, Eran', 'Doron, Guy', 'Yunger, Chaim'","2015.0","Social Psychological and Personality Science","Dehumanizing the enemy is one of the most destructive elements of intergroup conflict. Past research demonstrated that awareness of harm that the in-group imposed on a specific out-group can increase out-group dehumanization as means of justifying the harm. In this research, we examined whether the opposite process would occur when people become aware of help given to an adversary. We reasoned that the need to justify a good deed toward a persistent enemy can result in more human-like out-group attributions. In two experiments, Israeli-Jews read about their group either helping Palestinians or not. In Study 1, awareness of help provided by the in-group to the out-group resulted in greater out-group humanization. In Study 2, we further established that when a third party helped the out-group, the rehumanization effect was not obtained, suggesting that the phenomenon is of specific intergroup nature. Theoretical and applied implications for conflict resolution are discussed.","10.1177/1948550615574750","https://journals.sagepub.com/doi/full/10.1177/1948550615574750","articles+","0.0","2","1.0","2.0","37.06","9","Israel","3","2","3","0:02","1 day","1","0","reading about ingroup help","reading no-help article","3","human nature traits","1.0","1.0","0.0","45.5","-","45.5","-","dim","0.37","1.0","0.0","0.81","554.0","0.0","0.0","0.0","1.0","0.0",2
"6","Awareness of Intergroup Help Can Rehumanize the Out-Group","Saguy, Tamar, Szekeres, Hanna', 'Nouri, Rikki', 'Goldenberg, Amit', 'Dovidio, John F', 'Halperin, Eran', 'Doron, Guy', 'Yunger, Chaim'","2015.0","Social Psychological and Personality Science","Dehumanizing the enemy is one of the most destructive elements of intergroup conflict. Past research demonstrated that awareness of harm that the in-group imposed on a specific out-group can increase out-group dehumanization as means of justifying the harm. In this research, we examined whether the opposite process would occur when people become aware of help given to an adversary. We reasoned that the need to justify a good deed toward a persistent enemy can result in more human-like out-group attributions. In two experiments, Israeli-Jews read about their group either helping Palestinians or not. In Study 1, awareness of help provided by the in-group to the out-group resulted in greater out-group humanization. In Study 2, we further established that when a third party helped the out-group, the rehumanization effect was not obtained, suggesting that the phenomenon is of specific intergroup nature. Theoretical and applied implications for conflict resolution are discussed.","10.1177/1948550615574751","https://journals.sagepub.com/doi/full/10.1177/1948550615574751","articles+","0.0","2","1.0","2.0","37.06","9","Israel","3","2","3","0:02","1 day","1","0","reading about ingroup help","reading no-help article","3","human unique traits","1.0","1.0","0.0","45.5","-","45.5","-","dim","-0.02","-1.0","0.0","0.55","554.0","0.0","0.0","0.0","1.0","0.0",2
"7","Storytelling: program for multicultural understanding and respect among Thai-Buddhist and Thai-Muslim students","Chongruksa, Doungmani', 'Padungpong, Chaiwat', 'Wadeng, Yuhamasaulaet', 'Prinyapol, Penprapa","2010.0","Procedia - Social and Behavioral Sciences","The current unrest in Thailand's four southernmost provinces has widened the gap of mistrust and prejudice between Thai-Buddhists and Thai-Muslims. This study examined the efficacy of storytelling on multicultural understanding and respect among students of the two ethnic groups. The authors hypothesized that the strategic storytelling program, which incorporated non-prejudice and intergroup contact factors, would foster multicultural understanding and respect among Thai-Buddhist and Thai-Muslim students. The results supported the hypothesis. Implementation is illustrated as well as discussion and limitations.","10.1016/j.sbspro.2010.07.089","https://www.sciencedirect.com/science/article/pii/S1877042810014631', 'https://www.openaire.eu/search/publication?articleId=base_oa_____::1360cf48376f09c19774527a4701fac9","articles+","0.0","3","1.0","-","12","3","Thailand","2","11","1","15:00","4 weeks","0","0","storytelling on intergroup contact and non-prejudiced components","regular class guidance","3","respect","1.0","1.0","0.0","27","-","27","-","t.test","18.323","1.0","0.0","1.0","286.0","0.0","0.0","0.0","0.0","0.0",3
"8","Imagine that: examining the influence of sport‐related imagined contact on intergroup anxiety and sexual prejudice across cultures","Lee, Woojun and George B. Cunningham","2014.0","Journal of Applied Social Psychology","[""The purpose of this study was to examine (a) the relationship among sport‐related imagined intergroup contact, intergroup anxiety, and sexual prejudice, and (b) how these relationships varied across cultures. Students enrolled at major public universities in S outh K orea ( n \u2009=\u2009100) and the U nited S tates ( n \u2009=\u2009100) participated in an experiment in which they imagined playing basketball and then engaging in a conversation with a gay man or with a friend. They then responded to a post‐experiment questionnaire. South K oreans' intergroup anxiety significantly decreased when they imagined contact with a gay man, but the same was not necessarily the case for A mericans. Intergroup anxiety mediated the relationship between imagined contact and sexual prejudice for A mericans, but not for K oreans.""]","10.1111/jasp.12247","https://onlinelibrary.wiley.com/doi/abs/10.1111/jasp.12247', 'https://search.proquest.com/docview/1552385877","articles+","0.0","2","1.0","1.0","20.84","4","US","1","6","5","0:05","1 day","1","0","sport-related imagined intergroup contact","sport-related imagined contact with friends","3","sexual prejudice","-1.0","1.0","0.0","50","-","50","-","dim","0.01","-1.0","0.0","1.05","561,1","0.0","1.0","0.0","0.0","0.0",4
"9","Imagine that: examining the influence of sport‐related imagined contact on intergroup anxiety and sexual prejudice across cultures","Lee, Woojun and George B. Cunningham","2014.0","Journal of Applied Social Psychology","[""The purpose of this study was to examine (a) the relationship among sport‐related imagined intergroup contact, intergroup anxiety, and sexual prejudice, and (b) how these relationships varied across cultures. Students enrolled at major public universities in S outh K orea ( n \u2009=\u2009100) and the U nited S tates ( n \u2009=\u2009100) participated in an experiment in which they imagined playing basketball and then engaging in a conversation with a gay man or with a friend. They then responded to a post‐experiment questionnaire. South K oreans' intergroup anxiety significantly decreased when they imagined contact with a gay man, but the same was not necessarily the case for A mericans. Intergroup anxiety mediated the relationship between imagined contact and sexual prejudice for A mericans, but not for K oreans.""]","10.1111/jasp.12247","https://onlinelibrary.wiley.com/doi/abs/10.1111/jasp.12247', 'https://search.proquest.com/docview/1552385877","articles+","0.0","2","1.0","1.0","20.91","4","Korea","1","6","5","0:05","1 day","1","0","sport-related imagined intergroup contact","sport-related imagined contact with friends","3","sexual prejudice","-1.0","1.0","0.0","50","-","50","-","dim","-0.45","1.0","0.0","1.0","561,1","0.0","1.0","0.0","0.0","0.0",4
"10","Imagined contact with atypical outgroup members that are anti-normative within their group can reduce prejudice","Yetkili, Orkun; Abrams, Dominic', 'Travaglino, Giovanni A', 'Giner-Sorolla, Roger'","2018.0","Journal of Experimental Social Psychology","Can imagining contact with anti-normative outgroup members be an effective tool for improving intergroup relations? Extant theories predict greatest prejudice reduction following contact with typical outgroup members. In contrast, using subjective group dynamics theory, we predicted that imagining contact with anti-normative outgroup members canpromote positive intergroup attitudes because these atypical members potentially reduce intergroup threat and reinforce ingroup norms. In Study 1 (N = 79) when contact was imagined with an anti-normative rather than a normative outgroup member, that member was viewed as less typical and the contact was less threatening. Studies 2 (N = 47) and 3 (N = 180), employed differing methods, measures and target groups, and controlled for the effects of direct contact. Both studies showed that imagined contact with anti-normative outgroup members promoted positive attitudes to the outgroup, relative both to a no contact control condition and (in Study 3) to a condition involving imagined contact with an ingroup antinormative member. Overall, this research offers new practical and theoretical approaches to prejudice reduction.","10.1016/j.jesp.2018.02.004","https://www.sciencedirect.com/science/article/pii/S0022103117303852', 'https://www.openaire.eu/search/publication?articleId=core_ac_uk__::a0c2fec8a6a8ec9ea87e0c330a701c1c","articles+","0.0","2","1.0","3.0","37.33","9","US","3","11","5","0:01","1 day","1","0","imagined contact with anti-normative outgroup members","imagined outdoor walking","3","outgroup prejudice","-1.0","1.0","0.0","57.0","-","61.0","-","dim","-0.74","1.0","0.0","1.84","215, 5.3.2","0.0","1.0","0.0","0.0","0.0",5
